Quote_TR,,Author,Topic
"Başarı, kişinin hayatta ulaştığı konumla değil, aştığı engellerle ölçülmelidir.",Success is to be measured not so much by the position that one has reached in life as by the obstacles which he has overcome.,Booker T. Washington,success
"Başarılı olmaya değil, değerli olmaya çalışın.","Strive not to be a success, but rather to be of value.",Albert Einstein,success
"Her zaman kendiniz olun, kendinizi ifade edin, kendinize inanın, dışarı çıkıp başarılı bir kişilik aramayın ve onu kopyalamayın.","Always be yourself, express yourself, have faith in yourself, do not go out and look for a successful personality and duplicate it.",Bruce Lee,success
Başarı mutluluğun anahtarı değildir. Mutluluk başarının anahtarıdır. Yaptığınız işi severseniz başarılı olursunuz.,"Success is not the key to happiness. Happiness is the key to success. If you love what you are doing, you will be successful.",Albert Schweitzer,success
"Hayat ne kadar zor görünürse görünsün, her zaman yapabileceğiniz ve başarabileceğiniz bir şey vardır.","However difficult life may seem, there is always something you can do and succeed at.",Stephen Hawking,success
"Başarı istediğini elde etmekse, mutluluk elde ettiğini istemektir.",Success is getting what you want. Happiness is wanting what you get.,Dale Carnegie,success
"Başarı, düştüğünüzde bir kez daha ayağa kalkmaktan ibarettir.",Success consists of getting up just one more time than you fall.,Oliver Goldsmith,success
Yenilmezlik savunmada yatar; zafer olasılığı ise saldırıdadır.,Invincibility lies in the defence; the possibility of victory in the attack.,Sun Tzu,success
"Başarılı olmak için başarısız olmanız gerekir, böylece bir dahaki sefere ne yapmamanız gerektiğini bilirsiniz.","In order to succeed you must fail, so that you know what not to do the next time.",Anthony J. D'Angelo,success
"Başarının formülü: Erken kalkın, çok çalışın, petrole kavuşun.","Formula for success: rise early, work hard, strike oil.",J. Paul Getty,success
Başarılı oluyorlar çünkü yapabileceklerini düşünüyorlar.,"They succeed, because they think they can.",Virgil,success
Başarı dokuz kez düşüp on kez kalkmaktır.,Success is falling nine times and getting up ten.,Jon Bon Jovi,success
"Başarılı olmak için dahi, ileri görüşlü, hatta üniversite mezunu olmanıza gerek yok. Sadece bir çerçeveye ve bir hayale ihtiyacınız var.",You don't have to be a genius or a visionary or even a college graduate to be successful. You just need a framework and a dream.,Michael Dell,success
Bir canın bile sen yaşadığın için daha rahat nefes aldığını bilmek. Bu başarılı olmaktır.,To know even one life has breathed easier because you have lived. This is to have succeeded.,Bessie Anderson Stanley,success
"Yenilgi, başarısızlıkların en kötüsü değildir. Denememek gerçek başarısızlıktır.",Defeat is not the worst of failures. Not to have tried is the true failure.,George Edward Woodberry,success
Başarı sonsuza kadar sürmez ve başarısızlık ölümcül değildir.,Success is not forever and failure isn't fatal.,Don Shula,success
"Başarısızlık, ders alırsak başarıdır.",Failure is success if we learn from it.,Malcolm Forbes,success
"Başarı, her gün uygulanan birkaç basit disiplinden ibarettir.","Success is nothing more than a few simple disciplines, practiced every day.",Jim Rohn,success
"Başarı, deneyenler ve denemeye devam edenler tarafından elde edilir ve sürdürülür.",Success is achieved and maintained by those who try and keep trying.,W. Clement Stone,success
"Başarılı olmak için kalbinizin işinizde, işinizin de kalbinizde olması gerekir.","To be successful, you have to have your heart in your business and your business in your heart.",Thomas J. Watson,success
"Başarılı bir insanla diğerleri arasındaki fark; güç eksikliği, bilgi eksikliği değil, irade eksikliğidir.","The difference between a successful person and others is not a lack of strength, not a lack of knowledge, but rather a lack of will.",Vince Lombardi,success
"Başarı, olabileceğinizin en iyisi olmak için elinizden gelenin en iyisini yaptığınızı bilmekten gelir.",Success comes from knowing that you did your best to become the best that you are capable of becoming.,John Wooden,success
Gerçekten nefret ettiğiniz bir şeyde başarılı olmaktansa sevdiğiniz bir şeyde başarısız olmak daha iyidir.,It is better to be a failure at something you love than to be a success at something you hate.,George Burns,success
"Başarı, önceden belirlenmiş, değerli kişisel hedeflerin aşamalı olarak gerçekleştirilmesidir.","Success is the progressive realization of predetermined, worthwhile, personal goals.",Paul J. Meyer,success
Geleceği etkili bir şekilde tasarlamak için öncelikle geçmişinizi bırakmalısınız.,"To design the future effectively, you must first let go of your past.",Charles J. Givens,success
Kendinize olan inancınız ve sıkı çalışmanız size her zaman başarı kazandıracaktır.,Self-belief and hard work will always earn you success.,Virat Kohli,success
"Başarı bir varış noktası değil, bir yolculuktur. Nasıl yapıldığı, çoğu zaman sonuçtan daha önemlidir.","Success is a journey, not a destination. The doing is often more important than the outcome.",Arthur Ashe,success
"Biraz daha azim, biraz daha çaba ve umutsuz görünen başarısızlıklar muhteşem bir başarıya dönüşebilir.","A little more persistence, a little more effort, and what seemed hopeless failure may turn to glorious success.",Elbert Hubbard,success
"Başarı neye sahip olduğunuzda değil, kim olduğunuzdadır.","Success is not in what you have, but who you are.",Bo Bennett,success
"Başarıya doğru ilk adım, kendinizi ilk bulduğunuz ortamın esiri olmayı reddettiğinizde atılır.",The first step toward success is taken when you refuse to be a captive of the environment in which you first find yourself.,Mark Caine,success
"Başarı, değerli bir hedefin veya idealin aşamalı olarak gerçekleştirilmesidir.",Success is the progressive realization of a worthy goal or ideal.,Earl Nightingale,success
"Başarısızlık mevsimi, başarı tohumlarını ekmek için en iyi zamandır.",The season of failure is the best time for sowing the seeds of success.,Paramahansa Yogananda,success
