quote,author,image
"Doğayla her yürüyüşte, insan aradığından çok daha fazlasını bulur.","John Muir","placeholder.png"
"Bilgi cesaret verir; cehalet ise kıskançlık.","Halk sözü","placeholder.png"
"Bugün küçük bir adım at: yarın büyük bir fark yaratır.","MotivMate","placeholder.png"
"Motivasyon, alışkanlıkların doğal sonucudur; önce göster, sonra hissedersin.","MotivMate","placeholder.png"
"Zihin niyet eder, kalp emreder; adımların sırayla gelir.","MotivMate","placeholder.png"
"Korkunun üstünden geç: hedefin başlar, içindeki güçle.","MotivMate","placeholder.png"
"Sürekli gelişim, mükemmellikten daha değerlidir.","MotivMate","placeholder.png"
"Her gün biraz daha iyi ol: değişim küçük başlar.","MotivMate","placeholder.png"
"Odaklandığın şey büyür; düşünceni seç, yolunu çiz.","MotivMate","placeholder.png"
"İnanç, çalıştığında gerçeğe dönüşür.","MotivMate","placeholder.png"
